delta_t,timestamp
12080,1442534738
8400,1442534747
17240,1442534754
11260,1442534771
11380,1442534798
9820,1442534817
9100,1442534824
2200,1442534837
2900,1442534852
12320,1442534859
13900,1442534861
560,1442534876
2460,1442534894
15360,1442534897
300,1442534900
380,1442534902
8240,1442534903
1320,1442534903
6960,1442534903
16060,1442534906
2680,1442534907
7500,1442534909
260,1442534911
4680,1442534924
1200,1442534926
10940,1442534938
12200,1442534944
4480,1442534964
11640,1442534996
2160,1442534999
5420,1442535005
2320,1442535019
9300,1442535044
17000,1442535049
4360,1442535053
8340,1442535053
4420,1442535055
19900,1442535058
2000,1442535061
460,1442535074
10260,1442535092
980,1442535108
18660,1442535120
6960,1442535123
460,1442535135
10820,1442535155
16040,1442535173
2380,1442535180
10520,1442535185
1240,1442535189
18120,1442535228
18500,1442535230
6760,1442535237
12680,1442535244
5960,1442535244
11960,1442535247
16120,1442535251
5920,1442535252
8520,1442535261
4900,1442535268
260,1442535276
16000,1442535279
5640,1442535284
2820,1442535289
19360,1442535291
300,1442535312
12160,1442535315
12680,1442535320
9220,1442535325
340,1442535339
8360,1442535342
16540,1442535346
10160,1442535362
2120,1442535370
3960,1442535373
18340,1442535392
16000,1442535404
820,1442535412
840,1442535412
300,1442535415
15540,1442535417
820,1442535444
16600,1442535449
460,1442535456
17760,1442535474
60,1442535477
11020,1442535490
18180,1442535509
15740,1442535511
4740,1442535515
7820,1442535522
420,1442535525
17780,1442535530
1680,1442535581
2440,1442535584
13860,1442535588
11700,1442535588
3280,1442535603
940,1442535603
15020,1442535604
3620,1442535608
600,1442535610
10720,1442535616
900,1442535616
1420,1442535625
19120,1442535629
8580,1442535636
280,1442535638
2900,1442535638
10160,1442535656
10220,1442535664
320,1442535666
600,1442535673
18220,1442535690
7020,1442535692
520,1442535742
6400,1442535749
3040,1442535798
8840,1442535805
19920,1442535810
18900,1442535841
940,1442535850
13880,1442535861
1400,1442535865
18100,1442535866
440,1442535869
9660,1442535871
1240,1442535876
4160,1442535878
5280,1442535886
7840,1442535887
15000,1442535889
16100,1442535898
17800,1442535899
1380,1442535900
6740,1442535911
7260,1442535914
17060,1442535918
19040,1442535918
7520,1442535924
19300,1442535959
8920,1442535959
4020,1442535966
5980,1442535972
4960,1442535986
14380,1442535996
860,1442536000
900,1442536009
5780,1442536015
12380,1442536038
10820,1442536047
16300,1442536047
540,1442536059
700,1442536093
740,1442536095
1520,1442536104
12280,1442536120
14340,1442536129
6520,1442536133
1920,1442536140
19960,1442536143
10820,1442536145
9920,1442536151
3260,1442536153
5380,1442536184
6520,1442536188
9740,1442536189
4040,1442536197
15360,1442536203
5540,1442536207
2040,1442536212
1100,1442536213
1680,1442536216
11040,1442536218
340,1442536220
2920,1442536225
9780,1442536227
620,1442536234
7000,1442536238
5320,1442536238
15400,1442536254
8240,1442536265
12360,1442536308
3980,1442536316
7960,1442536323
19860,1442536326
3440,1442536330
4260,1442536334
9820,1442536335
700,1442536335
6260,1442536343
13280,1442536350
1740,1442536357
2000,1442536362
1560,1442536364
19040,1442536369
16320,1442536381
420,1442536382
5360,1442536383
17560,1442536396
520,1442536397
12400,1442536410
4140,1442536411
9600,1442536438
18840,1442536440
4840,1442536443
10900,1442536443
17920,1442536458
5180,1442536460
10860,1442536473
8960,1442536491
560,1442536493
19160,1442536499
420,1442536504
2780,1442536545
10780,1442536550
17600,1442536555
5780,1442536559
780,1442536586
2220,1442536597
3520,1442536606
200,1442536623
3680,1442536634
900,1442536650
18920,1442536670
11780,1442536677
16820,1442536685
8000,1442536697
1800,1442536708
9780,1442536713
9260,1442536716
3340,1442536717
480,1442536724
14740,1442536735
4900,1442536737
200,1442536766
11140,1442536772
15300,1442536797
2580,1442536815
920,1442536822
18620,1442536831
1100,1442536833
2880,1442536833
15660,1442536843
10700,1442536845
7140,1442536892
13460,1442536896
18360,1442536901
3960,1442536924
140,1442536926
10940,1442536943
9920,1442536973
5320,1442536987
4900,1442537025
18160,1442537040
17320,1442537055
300,1442537064
9860,1442537067
16560,1442537074
17700,1442537075
13800,1442537086
1780,1442537089
18860,1442537095
7280,1442537098
2260,1442537104
14960,1442537107
19560,1442537148
7520,1442537164
460,1442537166
18860,1442537171
13720,1442537173
19080,1442537173
420,1442537196
6880,1442537202
17420,1442537212
12160,1442537216
3020,1442537218
9080,1442537221
11340,1442537222
18540,1442537268
9680,1442537277
18880,1442537281
15460,1442537300
2080,1442537300
9240,1442537302
1420,1442537308
15600,1442537318
2380,1442537334
460,1442537371
